GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
utils,com.ecc.app,HorseNameGenerator,14,43,1,3,6,10,1,4,0,3
utils,com.ecc.app,ScannerUtil,47,0,2,0,19,0,5,0,4,0
utils,com.ecc.app,Ranker,63,0,2,0,11,0,5,0,4,0
utils,com.ecc.app,WarcryGenerator,14,48,0,4,6,11,0,5,0,3
